"delta","nu","sigma","train_accuracy","train_log_loss","train_calibration","validation_accuracy","validation_log_loss","validation_calibration","test_accuracy","test_log_loss","test_calibration"
50,7,0.05,0.647663910786387,0.622728873632615,0.902051621551081,0.61673672143676,0.658837747433999,0.973666761034704,0.591868647380766,0.672754613182201,0.941759817218709
50,7,0.1,0.619159776965968,0.707336865677152,0.897601681348712,0.602598395108903,0.726347448068391,1.00481610956665,0.591868647380766,0.730553104674414,0.963629477863469
50,7,0.15,0.588636800615266,0.911766441668316,0.877025898088234,0.581964081008789,0.907099209502255,1.00792656286351,0.587177482408131,0.87402962795694,0.96131870665145
50,7,0.2,0.570274947125553,1.30795865589647,0.850692991270119,0.566297286969813,1.27113197592045,1.00736468357503,0.575449569976544,1.17789070917757,0.956803638586342
50,9,0.05,0.648000384541434,0.622600440528157,0.902628774165219,0.61520825372564,0.658890911911567,0.974628330698591,0.592650508209539,0.672863293456555,0.942275729773555
50,9,0.1,0.619880792155355,0.707940708730065,0.898456718188353,0.602216278181123,0.727530311842597,1.00581514763646,0.591086786551994,0.731328815323234,0.964241346240116
50,9,0.15,0.589357815804653,0.914430023836461,0.878151526401416,0.580053496369889,0.91124187401057,1.00906140756092,0.588741204065676,0.877074308054862,0.961978078779045
50,9,0.2,0.571909248221496,1.3154801456316,0.852035853790949,0.567443637753152,1.28098574361374,1.00877152817735,0.575449569976544,1.18581793576646,0.957761389735033
100,1,0.05,0.63434916362238,0.646353097130909,0.900466524786469,0.611387084447841,0.675827606335576,0.991585276646716,0.591868647380766,0.69008916549996,0.952598051166767
100,1,0.1,0.590223034031917,0.858603785211762,0.878068345395343,0.585785250286588,0.854448913159688,1.00467736116255,0.589132134480063,0.832261499037392,0.960833606178323
100,1,0.15,0.563497404345318,1.41139342377589,0.840272370616805,0.568972105464272,1.35590445840741,1.00300523717526,0.573494917904613,1.25151302606859,0.953617655096411
100,1,0.2,0.555373966544895,2.29784211495146,0.821617498436525,0.565533053114253,2.18124580477374,1.01382093640784,0.566067240031274,1.98069353935755,0.954216974228085
100,3,0.05,0.635598923283984,0.646380790997884,0.901224252891623,0.611769201375621,0.676151349248385,0.992649805477034,0.595387021110242,0.690352651377269,0.953214306527476
100,3,0.1,0.591520861372813,0.860574189841704,0.879287066372092,0.586167367214368,0.857787435458035,1.00590670024116,0.588741204065676,0.834581412237886,0.961510863303822
100,3,0.15,0.563978081138243,1.42017083322119,0.841801609111429,0.568207871608712,1.36745888150247,1.00461548976405,0.571149335418295,1.26063859432139,0.954650402359384
